Time,Original_Signal,Filtered_Signal
13.66,-38.63241649529982,-2.555257154117198
13.67,-38.80921420748655,-2.505713138584555
13.68,-40.98601191967339,-2.4361972090437343
13.69,-39.16280963186023,-2.356371436144858
13.7,-41.339607344046954,-2.2750054268470725
13.71,-36.51640505623379,-2.199479238070525
13.72,-37.69320276842063,-2.135398064294886
13.73,-39.87000048060736,-2.0863408540843262
13.74,-39.0467981927942,-2.053755437645427
13.75,-38.223595904980925,-2.0370024232172064
13.76,-46.400393617167765,-2.0335399440284414
13.77,-41.577191329354605,-2.0392322345215934
13.78,-40.75398904154133,-2.0487577617129844
13.79,-41.93078675372817,-2.0560877096631867
13.8,-42.1075844659149,-2.0550031052404574
13.81,-39.28438217810174,-2.0396185433913545
13.82,-41.46117989028846,-2.004881908476425
13.83,-42.6379776024753,-1.9470222659780425
13.84,-38.81477531466214,-1.863921845901607
13.85,-38.99157302684887,-1.7553924563424945
13.86,-42.16837073903571,-1.623341515435046
13.87,-40.345168451222435,-1.4718179958399153
13.88,-41.521966163409274,-1.3069338397254957
13.89,-39.698763875596114,-1.136661799273365
13.9,-40.87556158778284,-0.9705161784522403
13.91,-44.05235929996968,-0.8191285324854104
13.92,-41.229157012156406,-0.6937358850635649
13.93,-41.405954724343246,-0.605604249073191
13.94,-39.58275243652997,-0.565414905457937
13.95,-41.75955014871681,-0.582644632885425
13.96,-43.93634786090365,-0.6649734676297648
13.97,-43.11314557309038,-0.8177542480372244
13.98,-38.28994328527722,-1.0435769289309167
13.99,-41.466740997463944,-1.3419573108070306
14.0,-41.643538709650784,-1.709174356930324
14.01,-41.820336421837624,-2.1382727321663504
14.02,-42.99713413402435,-2.619237897664051
14.03,-48.17393184621119,-3.139340633798841
14.04,-41.35072955839803,-3.683637041074229
14.05,-42.527527270584756,-4.235599730471284
14.06,-44.704324982771595,-4.777846829218183
14.07,-51.88112269495832,-5.292928265595569
14.08,-53.05792040714516,-5.764124191179461
14.09,-49.23471811933189,-6.1762089546918295
14.1,-54.41151583151873,-6.516136158269693
14.11,-46.58831354370545,-6.773605938156771
14.12,-48.76511125589229,-6.9414840840180645
14.13,-50.94190896807913,-7.016052919861588
14.14,-53.11870668026586,-6.997084924299169
14.15,-51.2955043924527,-6.887740971578963
14.16,-51.47230210463954,-6.694305189854967
14.17,-49.649099816826265,-6.42577727187116
14.18,-48.825897529013105,-6.093350163755801
14.19,-46.00269524119983,-5.7098059355757185
14.2,-48.17949295338667,-5.2888649726483585
14.21,-49.35629066557351,-4.844523378850099
14.22,-49.53308837776024,-4.390410982350466
14.23,-51.70988608994708,-3.9391982365020883
14.24,-53.8866838021338,-3.502075425913332
14.25,-53.06348151432064,-3.0883226518217395
14.26,-46.24027922650737,-2.704984525840889
14.27,-47.41707693869421,-2.3566593991977207
14.28,-48.593874650880934,-2.045409007960529
14.29,-46.770672363067774,-1.7707902155742294
14.3,-49.947470075254614,-1.5300058392630864
14.31,-49.12426778744134,-1.318166440085168
14.32,-48.30106549962818,-1.1286497946062057
14.33,-50.47786321181502,-0.9535400045962154
14.34,-50.654660924001746,-0.7841242427515076
14.35,-49.831458636188586,-0.6114222609553445
14.36,-48.008256348375426,-0.42672215762176163
14.37,-49.18505406056215,-0.22209554604508822
14.38,-50.36185177274899,0.009133872213749205
14.39,-47.53864948493572,0.27199233321884364
14.4,-51.71544719712256,0.5695495666012073
14.41,-51.892244909309284,0.902720651351644
14.42,-52.06904262149612,1.2701876867417201
14.43,-49.24584033368285,1.668446523310657
14.44,-52.42263804586969,2.091976754597354
14.45,-49.59943575805653,2.533525792524835
14.46,-50.776233470243255,2.9844907272750754
14.47,-49.953031182430095,3.4353754338373075
14.48,-49.12982889461682,3.8762955994161934
14.49,-50.30662660680366,4.297501461310371
14.5,-44.4834243189905,4.689887370458217
14.51,-48.66022203117723,5.0454589582643115
14.52,-45.83701974336407,5.357732585655365
14.53,-52.01381745555079,5.622047521095463
14.54,-50.19061516773763,5.835778264908247
14.55,-51.367412879924416,5.998441736986516
